日付,時刻,伝票番号,商品名,数量,単価,金額,支払方法,スタッフ
2025-10-14,11:47:41,T0001,日替わり定食,1,950,1045,現金,田中
2025-10-14,14:18:41,T0002,ランチセットA,2,1200,2640,クレジットカード,佐藤
2025-10-14,15:33:41,T0003,ランチセットB,2,1500,3300,QRコード決済,佐藤
2025-10-14,13:41:41,T0004,ランチセットA,2,1200,2640,クレジットカード,田中
2025-10-14,19:01:41,T0005,パスタセット,1,1300,1430,QRコード決済,渡辺
2025-10-14,18:47:41,T0006,ビール,1,600,660,現金,鈴木
2025-10-14,20:43:41,T0007,日替わり定食,1,950,1045,クレジットカード,佐藤
2025-10-14,12:10:41,T0008,パスタセット,1,1300,1430,現金,高橋
2025-10-14,15:03:41,T0009,パスタセット,2,1300,2860,現金,田中
2025-10-14,18:56:41,T0010,ビール,1,600,660,クレジットカード,渡辺
2025-10-14,12:52:41,T0011,カレーライス,2,900,1980,クレジットカード,田中
2025-10-14,20:31:41,T0012,ケーキセット,1,800,880,QRコード決済,田中
2025-10-14,18:34:41,T0013,パスタセット,1,1300,1430,現金,高橋
2025-10-14,16:55:41,T0014,ビール,1,600,660,現金,高橋
2025-10-14,12:41:41,T0015,ランチセットA,2,1200,2640,現金,高橋
2025-10-14,15:26:41,T0016,ビール,1,600,660,クレジットカード,田中
2025-10-14,14:52:41,T0017,デザート盛り合わせ,1,700,770,クレジットカード,鈴木
2025-10-14,11:10:41,T0018,日替わり定食,2,950,2090,クレジットカード,高橋
2025-10-14,14:54:41,T0019,デザート盛り合わせ,2,700,1540,現金,鈴木
2025-10-14,14:11:41,T0020,デザート盛り合わせ,1,700,770,クレジットカード,高橋
2025-10-14,19:37:41,T0021,コーヒー,1,400,440,クレジットカード,田中
2025-10-14,15:54:41,T0022,ケーキセット,2,800,1760,電子マネー,渡辺
2025-10-14,11:35:41,T0023,日替わり定食,2,950,2090,現金,鈴木
2025-10-14,18:21:41,T0024,ケーキセット,1,800,880,電子マネー,田中
2025-10-14,15:08:41,T0025,ランチセットB,1,1500,1650,クレジットカード,鈴木
2025-10-14,20:37:41,T0026,パスタセット,1,1300,1430,電子マネー,高橋
2025-10-14,18:24:41,T0027,パスタセット,1,1300,1430,現金,渡辺
2025-10-14,12:06:41,T0028,ハンバーグ定食,1,1100,1210,電子マネー,佐藤
2025-10-14,12:49:41,T0029,ランチセットB,1,1500,1650,クレジットカード,鈴木
2025-10-14,13:59:41,T0030,デザート盛り合わせ,2,700,1540,現金,渡辺
2025-10-14,15:57:41,T0031,コーヒー,2,400,880,電子マネー,佐藤
2025-10-14,19:26:41,T0032,カレーライス,1,900,990,QRコード決済,高橋
2025-10-14,19:48:41,T0033,ケーキセット,2,800,1760,QRコード決済,高橋
2025-10-14,13:05:41,T0034,ランチセットA,2,1200,2640,クレジットカード,高橋
2025-10-14,12:15:41,T0035,ランチセットB,2,1500,3300,現金,鈴木
2025-10-14,13:40:41,T0036,ハンバーグ定食,2,1100,2420,QRコード決済,渡辺
2025-10-14,11:36:41,T0037,ランチセットB,1,1500,1650,現金,佐藤
2025-10-14,14:41:41,T0038,日替わり定食,1,950,1045,QRコード決済,鈴木
2025-10-14,11:14:41,T0039,ケーキセット,2,800,1760,現金,高橋
2025-10-14,15:30:41,T0040,ランチセットB,1,1500,1650,現金,佐藤
2025-10-14,17:29:41,T0041,日替わり定食,1,950,1045,QRコード決済,佐藤
2025-10-14,11:56:41,T0042,パスタセット,2,1300,2860,現金,高橋
2025-10-14,15:01:41,T0043,ランチセットA,2,1200,2640,電子マネー,渡辺
2025-10-14,19:33:41,T0044,パスタセット,2,1300,2860,QRコード決済,鈴木
2025-10-14,12:04:41,T0045,パスタセット,1,1300,1430,QRコード決済,渡辺
2025-10-14,16:34:41,T0046,パスタセット,1,1300,1430,QRコード決済,佐藤
2025-10-14,16:25:41,T0047,パスタセット,1,1300,1430,QRコード決済,鈴木
2025-10-14,17:48:41,T0048,ランチセットA,2,1200,2640,現金,田中
2025-10-14,15:45:41,T0049,パスタセット,1,1300,1430,電子マネー,高橋
2025-10-14,12:55:41,T0050,ランチセットA,2,1200,2640,クレジットカード,渡辺
